                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7642,                 3.7764,                 3.2424,                0.37515,                0.02971,                0.02373,                0.00844,                 2.8617,                 3.0814,                 2.7358,               0.070012,               0.003332,               0.003332
                      2,                 2.6267,                 2.8787,                 2.3637,                0.33933,                0.14575,                0.10156,                0.04004,                 2.3502,                 2.5215,                 2.2817,               0.039946,              0.0065994,              0.0065994
                      3,                 2.3483,                  2.499,                 2.1316,                 0.2357,                0.19897,                0.15658,                0.06568,                 2.2064,                 2.2284,                 2.1229,               0.009814,              0.0098007,              0.0098007
                      4,                  2.221,                   2.28,                 2.0242,                0.30918,                0.24025,                0.20087,                0.08943,                 2.0764,                 2.0036,                 2.0212,               0.009703,               0.009703,               0.009703
                      5,                 2.1279,                 2.1172,                 1.9597,                0.48659,                 0.2576,                0.23593,                0.10397,                 2.0433,                 1.9185,                  2.001,               0.009604,               0.009604,               0.009604
                      6,                 2.0758,                 2.0209,                 1.9165,                0.27855,                0.35062,                0.26668,                0.11829,                 1.9854,                 1.8715,                 1.9622,               0.009505,               0.009505,               0.009505
                      7,                 2.0333,                 1.9424,                 1.8849,                0.33917,                0.33105,                0.29626,                 0.1344,                 1.9528,                 1.7529,                 1.9249,               0.009406,               0.009406,               0.009406
                      8,                  1.999,                 1.8779,                 1.8506,                0.67872,                0.28585,                0.29967,                0.14064,                  1.934,                 1.7217,                 1.9031,               0.009307,               0.009307,               0.009307
                      9,                 1.9691,                  1.826,                 1.8285,                0.39158,                0.38268,                0.33071,                0.15742,                 1.8999,                 1.6578,                  1.877,               0.009208,               0.009208,               0.009208
                     10,                 1.9498,                 1.7827,                 1.8129,                0.53249,                0.33571,                0.33633,                0.16144,                 1.8812,                 1.6604,                  1.863,               0.009109,               0.009109,               0.009109
                     11,                 1.9301,                 1.7528,                 1.7968,                0.43416,                0.40316,                 0.3809,                0.18169,                  1.897,                 1.5855,                 1.8832,                0.00901,                0.00901,                0.00901
                     12,                 1.9096,                   1.71,                 1.7876,                0.60456,                0.34816,                0.38101,                0.18683,                 1.8641,                 1.5597,                   1.85,               0.008911,               0.008911,               0.008911
                     13,                 1.8916,                 1.6673,                 1.7755,                 0.4308,                0.45241,                0.39528,                0.19457,                 1.8344,                 1.5305,                 1.8316,               0.008812,               0.008812,               0.008812
                     14,                 1.8711,                 1.6386,                 1.7588,                0.44659,                0.43292,                0.41168,                0.20923,                 1.8105,                 1.5065,                 1.8167,               0.008713,               0.008713,               0.008713
                     15,                 1.8574,                 1.6091,                 1.7507,                0.49378,                 0.4549,                0.44282,                0.22508,                 1.8079,                 1.4502,                  1.813,               0.008614,               0.008614,               0.008614
                     16,                   1.85,                   1.59,                 1.7476,                0.51397,                0.48177,                0.46327,                0.23998,                 1.7846,                 1.4328,                 1.8046,               0.008515,               0.008515,               0.008515
                     17,                 1.8233,                 1.5468,                 1.7305,                0.55942,                0.45455,                0.48665,                0.24662,                 1.7826,                 1.4117,                 1.7963,               0.008416,               0.008416,               0.008416
                     18,                 1.8155,                 1.5326,                 1.7254,                0.50281,                0.49071,                0.47417,                0.24489,                 1.7643,                 1.3867,                 1.7784,               0.008317,               0.008317,               0.008317
                     19,                 1.8041,                 1.5159,                 1.7096,                0.58528,                0.51449,                0.50832,                 0.2685,                 1.7467,                 1.3637,                 1.7652,               0.008218,               0.008218,               0.008218
                     20,                 1.7861,                 1.4769,                 1.7031,                0.58468,                0.51894,                0.52087,                0.27446,                 1.7364,                  1.339,                 1.7678,               0.008119,               0.008119,               0.008119
                     21,                 1.7699,                 1.4494,                 1.6899,                0.55387,                0.54495,                0.52342,                0.28389,                 1.7268,                 1.3155,                 1.7633,                0.00802,                0.00802,                0.00802
                     22,                 1.7556,                  1.437,                 1.6851,                0.59098,                0.54259,                0.54009,                 0.2919,                  1.718,                 1.3067,                  1.751,               0.007921,               0.007921,               0.007921
                     23,                 1.7461,                 1.4141,                 1.6716,                0.59341,                0.55346,                0.55257,                0.29692,                 1.6983,                 1.2906,                 1.7347,               0.007822,               0.007822,               0.007822
                     24,                 1.7312,                 1.4005,                 1.6625,                0.63687,                0.56769,                0.57989,                0.31996,                 1.6817,                 1.2576,                 1.7178,               0.007723,               0.007723,               0.007723
                     25,                 1.7126,                 1.3672,                  1.653,                0.64467,                0.56673,                0.59224,                0.32514,                 1.6772,                 1.2421,                 1.7234,               0.007624,               0.007624,               0.007624
                     26,                 1.6977,                 1.3519,                 1.6448,                0.59966,                0.57739,                0.56843,                0.31472,                 1.6584,                 1.2255,                  1.704,               0.007525,               0.007525,               0.007525
                     27,                 1.6884,                 1.3305,                 1.6363,                0.63831,                0.59967,                0.60872,                0.34908,                 1.6446,                 1.2035,                 1.6946,               0.007426,               0.007426,               0.007426
                     28,                 1.6784,                 1.3125,                 1.6293,                0.67127,                0.59696,                0.61744,                0.34996,                  1.634,                 1.1851,                 1.6809,               0.007327,               0.007327,               0.007327
                     29,                 1.6634,                 1.2932,                  1.619,                 0.6773,                0.61807,                0.65511,                0.37354,                 1.6252,                 1.1525,                 1.6867,               0.007228,               0.007228,               0.007228
                     30,                 1.6489,                 1.2721,                 1.6093,                0.69902,                0.62031,                 0.6653,                0.38248,                 1.6103,                 1.1404,                 1.6803,               0.007129,               0.007129,               0.007129
                     31,                 1.6253,                 1.2402,                 1.5902,                0.68489,                0.63164,                0.67434,                0.39263,                 1.5969,                 1.1266,                 1.6568,                0.00703,                0.00703,                0.00703
                     32,                 1.6259,                 1.2415,                 1.5928,                0.70885,                0.62399,                0.67483,                0.40053,                 1.5799,                 1.1068,                 1.6483,               0.006931,               0.006931,               0.006931
                     33,                 1.6092,                 1.2173,                 1.5794,                0.73868,                0.61307,                0.68017,                0.40275,                 1.5676,                  1.095,                 1.6421,               0.006832,               0.006832,               0.006832
                     34,                 1.6055,                 1.2095,                 1.5719,                0.70234,                0.65578,                0.68863,                0.41001,                 1.5569,                 1.0737,                  1.632,               0.006733,               0.006733,               0.006733
                     35,                 1.5834,                 1.1884,                 1.5592,                0.76521,                0.63013,                0.70521,                0.42493,                 1.5364,                 1.0535,                 1.6203,               0.006634,               0.006634,               0.006634
                     36,                 1.5642,                 1.1641,                 1.5517,                0.75185,                0.66481,                0.71615,                0.43343,                  1.529,                 1.0339,                 1.6142,               0.006535,               0.006535,               0.006535
                     37,                 1.5602,                 1.1589,                 1.5462,                0.73332,                0.67177,                0.71292,                0.43906,                 1.5209,                  1.017,                  1.613,               0.006436,               0.006436,               0.006436
                     38,                 1.5431,                 1.1362,                 1.5311,                0.76805,                 0.6815,                0.73251,                0.44937,                 1.5045,                0.99952,                 1.5991,               0.006337,               0.006337,               0.006337
                     39,                 1.5313,                 1.1205,                 1.5224,                 0.7648,                 0.6844,                0.73557,                0.45734,                 1.4979,                0.98796,                 1.5924,               0.006238,               0.006238,               0.006238
                     40,                  1.519,                 1.1089,                 1.5146,                0.77675,                  0.677,                0.74086,                0.46767,                  1.484,                0.97162,                 1.5866,               0.006139,               0.006139,               0.006139
                     41,                 1.5023,                 1.0865,                 1.5084,                0.79426,                0.68475,                 0.7549,                0.47713,                 1.4681,                0.95847,                 1.5731,                0.00604,                0.00604,                0.00604
                     42,                 1.4918,                 1.0808,                 1.5043,                0.77291,                0.70383,                0.74905,                0.47359,                 1.4597,                 0.9482,                  1.563,               0.005941,               0.005941,               0.005941
                     43,                 1.4796,                 1.0601,                 1.4875,                0.79691,                0.69687,                0.76534,                0.48695,                 1.4467,                0.93274,                 1.5578,               0.005842,               0.005842,               0.005842
                     44,                 1.4716,                 1.0489,                 1.4836,                0.79947,                0.70789,                0.76932,                0.49123,                 1.4317,                0.91944,                 1.5528,               0.005743,               0.005743,               0.005743
                     45,                 1.4635,                  1.046,                 1.4764,                0.82017,                0.69142,                0.77215,                0.49331,                 1.4208,                0.90861,                 1.5445,               0.005644,               0.005644,               0.005644
                     46,                 1.4427,                 1.0184,                 1.4646,                0.79586,                0.70803,                0.77115,                0.49562,                 1.4107,                 0.8967,                 1.5405,               0.005545,               0.005545,               0.005545
                     47,                 1.4456,                  1.021,                 1.4637,                0.81447,                0.70807,                 0.7801,                  0.506,                  1.402,                0.88758,                 1.5355,               0.005446,               0.005446,               0.005446
                     48,                 1.4205,                0.99806,                 1.4479,                0.83043,                 0.7091,                 0.7869,                0.51291,                 1.3876,                0.87461,                 1.5288,               0.005347,               0.005347,               0.005347
                     49,                 1.4177,                0.98664,                 1.4434,                0.81308,                0.72397,                 0.7847,                0.51529,                 1.3788,                0.86227,                  1.517,               0.005248,               0.005248,               0.005248
                     50,                 1.4032,                0.97867,                 1.4345,                0.82096,                 0.7188,                0.78879,                0.52019,                 1.3661,                0.85392,                 1.5101,               0.005149,               0.005149,               0.005149
                     51,                 1.3953,                0.96667,                 1.4289,                0.83975,                0.71111,                0.79473,                0.52682,                 1.3623,                0.84362,                 1.5058,                0.00505,                0.00505,                0.00505
                     52,                 1.3805,                0.95395,                 1.4161,                0.81102,                 0.7324,                0.79738,                0.52882,                  1.354,                0.84078,                 1.4964,               0.004951,               0.004951,               0.004951
                     53,                 1.3789,                0.95187,                 1.4148,                0.83772,                0.72587,                0.80351,                0.53518,                 1.3403,                  0.829,                 1.4866,               0.004852,               0.004852,               0.004852
                     54,                 1.3528,                0.93006,                 1.4047,                0.81392,                0.73318,                0.79882,                0.53317,                 1.3354,                0.82141,                 1.4882,               0.004753,               0.004753,               0.004753
                     55,                  1.345,                 0.9122,                 1.3916,                0.80489,                0.75449,                0.80561,                0.54094,                 1.3232,                0.81057,                   1.48,               0.004654,               0.004654,               0.004654
                     56,                 1.3422,                0.90673,                 1.3908,                0.84643,                0.72191,                0.80621,                0.54476,                 1.3162,                0.80577,                 1.4747,               0.004555,               0.004555,               0.004555
                     57,                 1.3263,                0.89123,                 1.3788,                0.84756,                0.73178,                0.80604,                0.54883,                 1.3078,                 0.8012,                 1.4708,               0.004456,               0.004456,               0.004456
                     58,                   1.32,                0.89213,                 1.3767,                0.82981,                0.74476,                0.80766,                0.54977,                 1.3007,                0.79662,                 1.4649,               0.004357,               0.004357,               0.004357
                     59,                 1.3031,                0.87955,                 1.3672,                0.83122,                 0.7508,                0.80854,                0.55136,                 1.2943,                 0.7882,                 1.4601,               0.004258,               0.004258,               0.004258
                     60,                 1.2928,                 0.8643,                 1.3579,                0.83667,                0.75011,                0.81702,                0.55695,                 1.2904,                0.77952,                 1.4568,               0.004159,               0.004159,               0.004159
                     61,                 1.2846,                0.86236,                 1.3519,                0.83142,                0.75762,                 0.8168,                0.56251,                 1.2784,                0.77343,                 1.4485,                0.00406,                0.00406,                0.00406
                     62,                 1.2857,                0.85569,                 1.3511,                0.84876,                0.74354,                0.82076,                0.56718,                 1.2691,                0.76475,                 1.4442,               0.003961,               0.003961,               0.003961
                     63,                 1.2734,                0.84726,                  1.343,                 0.8431,                0.74549,                0.82326,                0.57388,                 1.2593,                0.75537,                 1.4399,               0.003862,               0.003862,               0.003862
                     64,                 1.2622,                 0.8355,                 1.3363,                0.84693,                0.75484,                0.82489,                0.57529,                 1.2527,                0.74873,                 1.4358,               0.003763,               0.003763,               0.003763
                     65,                 1.2505,                0.82225,                 1.3252,                0.85005,                0.75317,                0.82758,                0.57846,                 1.2441,                0.74359,                 1.4308,               0.003664,               0.003664,               0.003664
                     66,                 1.2424,                0.81715,                   1.32,                0.84375,                0.75743,                0.82834,                0.58271,                 1.2382,                0.73928,                 1.4276,               0.003565,               0.003565,               0.003565
                     67,                 1.2319,                0.80547,                 1.3117,                0.84281,                0.76026,                0.82765,                0.58165,                 1.2329,                0.73496,                 1.4242,               0.003466,               0.003466,               0.003466
                     68,                 1.2237,                0.79811,                 1.3089,                0.85553,                0.75579,                0.83031,                0.58313,                 1.2274,                0.72801,                 1.4216,               0.003367,               0.003367,               0.003367
                     69,                 1.2139,                0.79007,                 1.3039,                0.83752,                0.76743,                  0.831,                0.58543,                 1.2225,                0.72186,                 1.4197,               0.003268,               0.003268,               0.003268
                     70,                 1.2152,                0.78744,                  1.303,                0.86012,                 0.7569,                0.83086,                0.58847,                 1.2147,                0.71638,                 1.4144,               0.003169,               0.003169,               0.003169
                     71,                 1.1953,                0.77607,                 1.2841,                0.84954,                0.76801,                0.83244,                 0.5904,                 1.2092,                0.71098,                 1.4118,                0.00307,                0.00307,                0.00307
                     72,                 1.1886,                0.76522,                 1.2813,                0.84689,                0.77185,                0.83383,                0.59337,                  1.206,                0.70761,                 1.4102,               0.002971,               0.002971,               0.002971
                     73,                   1.18,                0.75849,                 1.2785,                0.83577,                0.78514,                0.83691,                0.59781,                 1.2022,                0.70254,                 1.4101,               0.002872,               0.002872,               0.002872
                     74,                 1.1652,                0.74783,                  1.276,                 0.8393,                0.78873,                0.84091,                0.60079,                 1.1977,                0.69883,                 1.4085,               0.002773,               0.002773,               0.002773
                     75,                 1.1635,                0.74848,                   1.27,                0.85141,                0.77668,                0.84174,                 0.6026,                 1.1933,                0.69564,                 1.4064,               0.002674,               0.002674,               0.002674
                     76,                  1.151,                0.73577,                 1.2629,                0.85061,                0.77935,                0.84515,                0.60584,                 1.1887,                0.69209,                 1.4046,               0.002575,               0.002575,               0.002575
                     77,                 1.1481,                0.73627,                 1.2604,                0.85398,                0.78005,                0.84651,                0.60663,                 1.1843,                0.68836,                 1.4029,               0.002476,               0.002476,               0.002476
                     78,                 1.1422,                0.72456,                 1.2522,                0.84761,                0.78483,                0.84592,                0.60693,                 1.1801,                0.68525,                 1.4008,               0.002377,               0.002377,               0.002377
                     79,                 1.1299,                0.71748,                 1.2486,                0.84276,                0.79414,                0.84748,                0.60855,                 1.1767,                 0.6823,                 1.3999,               0.002278,               0.002278,               0.002278
                     80,                 1.1191,                0.70587,                 1.2393,                0.85708,                0.78949,                0.85241,                0.61168,                 1.1719,                0.67867,                 1.3969,               0.002179,               0.002179,               0.002179
                     81,                 1.1116,                 0.7014,                 1.2334,                0.86104,                0.78221,                0.84975,                0.61403,                 1.1679,                0.67614,                 1.3944,                0.00208,                0.00208,                0.00208
                     82,                 1.1073,                0.69628,                 1.2306,                0.87093,                0.77649,                 0.8508,                0.61589,                 1.1641,                 0.6738,                 1.3924,               0.001981,               0.001981,               0.001981
                     83,                 1.0959,                0.68898,                 1.2259,                0.86724,                0.78162,                0.85062,                0.61757,                 1.1607,                0.67147,                 1.3907,               0.001882,               0.001882,               0.001882
                     84,                   1.09,                 0.6857,                 1.2198,                0.86998,                0.78168,                0.85268,                0.61852,                 1.1576,                0.66873,                   1.39,               0.001783,               0.001783,               0.001783
                     85,                 1.0794,                0.67585,                 1.2152,                0.86972,                0.77958,                0.85112,                0.62077,                 1.1548,                0.66606,                 1.3889,               0.001684,               0.001684,               0.001684
                     86,                 1.0742,                0.67236,                 1.2104,                0.86417,                0.78616,                0.85157,                0.62153,                  1.152,                0.66425,                  1.388,               0.001585,               0.001585,               0.001585
                     87,                 1.0678,                0.66827,                 1.2093,                0.86647,                0.78687,                0.85314,                 0.6232,                 1.1494,                0.66239,                 1.3868,               0.001486,               0.001486,               0.001486
                     88,                  1.057,                0.65611,                 1.1993,                0.86558,                0.78678,                0.85232,                0.62336,                 1.1455,                0.66014,                 1.3848,               0.001387,               0.001387,               0.001387
                     89,                 1.0516,                0.65416,                 1.1982,                0.86934,                0.78546,                0.85331,                0.62375,                 1.1433,                0.65806,                 1.3838,               0.001288,               0.001288,               0.001288
                     90,                 1.0476,                0.65229,                  1.197,                0.87174,                0.78395,                0.85409,                0.62433,                 1.1406,                0.65665,                 1.3822,               0.001189,               0.001189,               0.001189
                     91,                 1.0375,                0.64155,                 1.1869,                0.87762,                0.77839,                0.85244,                0.62404,                 1.1376,                0.65525,                 1.3799,                0.00109,                0.00109,                0.00109
                     92,                 1.0307,                0.63611,                 1.1825,                0.87985,                0.78149,                0.85353,                0.62548,                 1.1355,                 0.6531,                  1.379,               0.000991,               0.000991,               0.000991
                     93,                 1.0141,                0.62989,                 1.1783,                0.87803,                0.78158,                0.85335,                0.62606,                 1.1329,                0.65214,                 1.3775,               0.000892,               0.000892,               0.000892
                     94,                 1.0087,                 0.6237,                 1.1704,                0.87645,                 0.7836,                0.85377,                0.62771,                  1.131,                0.65111,                 1.3763,               0.000793,               0.000793,               0.000793
                     95,                 1.0079,                0.62289,                 1.1703,                0.87577,                 0.7836,                0.85276,                0.62757,                 1.1286,                 0.6497,                 1.3751,               0.000694,               0.000694,               0.000694
                     96,                 1.0015,                0.61899,                 1.1677,                0.87741,                 0.7851,                0.85451,                0.62893,                 1.1274,                0.64818,                 1.3748,               0.000595,               0.000595,               0.000595
                     97,                0.99815,                0.61861,                 1.1653,                 0.8794,                 0.7835,                0.85474,                0.62895,                 1.1261,                0.64721,                 1.3743,               0.000496,               0.000496,               0.000496
                     98,                0.99191,                0.61217,                 1.1604,                0.88003,                0.78372,                0.85459,                0.62953,                 1.1245,                0.64653,                 1.3735,               0.000397,               0.000397,               0.000397
                     99,                0.98465,                0.60283,                 1.1584,                0.88239,                0.78326,                0.85465,                0.63009,                  1.123,                0.64543,                  1.373,               0.000298,               0.000298,               0.000298
                    100,                0.97808,                 0.6038,                 1.1544,                0.88386,                0.78103,                0.85461,                0.63079,                 1.1216,                0.64478,                 1.3724,               0.000199,               0.000199,               0.000199
